,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,True Value,Predictive Label W2,Predictive Label W3,Predictive Label W4,Ensemble Value,Buy & Hold Value,W2 Strategy Value,Ensemble Strategy Value
0,2016-01-04,2016,1,4,Monday,1,2016-01,23.17,23.49,23.02,23.49,2753900.0,22.59,0.0,22.59,22.59,+,,,,,100.0,100.0,100.0
1,2016-01-05,2016,1,5,Tuesday,1,2016-01,23.61,23.62,23.24,23.48,1264700.0,22.58,-0.0004258132141585769,22.585,22.585,-,,,,,100.0,100.0,100.0
2,2016-01-06,2016,1,6,Wednesday,1,2016-01,23.12,23.28,23.03,23.14,1393300.0,22.25,-0.014480268838667596,22.47333333333333,22.47333333333333,-,,,,,100.0,100.0,100.0
3,2016-01-07,2016,1,7,Thursday,1,2016-01,22.75,23.1,22.67,22.72,2470100.0,21.85,-0.018150543621458515,22.317500000000006,22.317500000000006,-,,,,,100.0,100.0,100.0
4,2016-01-08,2016,1,8,Friday,1,2016-01,22.82,22.86,22.08,22.1,2341500.0,21.25,-0.027288607594936683,22.104000000000006,22.104000000000006,-,,,,,100.0,100.0,100.0
5,2016-01-11,2016,1,11,Monday,2,2016-02,22.75,22.77,22.4,22.68,2476100.0,21.81,0.026244234976475992,22.055000000000003,22.055000000000003,+,,,,,100.0,100.0,100.0
6,2016-01-12,2016,1,12,Tuesday,2,2016-02,23.03,23.13,22.64,22.93,1777300.0,22.05,0.011022985643952987,22.05428571428572,22.05428571428572,+,,,,,100.0,100.0,100.0
7,2016-01-13,2016,1,13,Wednesday,2,2016-02,23.1,23.15,22.15,22.17,2838200.0,21.32,-0.03314436557981448,21.9625,21.9625,-,,,,,100.0,100.0,100.0
8,2016-01-14,2016,1,14,Thursday,2,2016-02,21.83,22.17,21.49,22.01,3469000.0,21.17,-0.007216958120457861,21.87444444444445,21.87444444444445,-,,,,,100.0,100.0,100.0
9,2016-01-15,2016,1,15,Friday,2,2016-02,20.96,21.18,20.73,20.96,3595100.0,20.16,-0.04770554865481147,21.703000000000003,21.703000000000003,-,,,,,100.0,100.0,100.0
10,2016-01-19,2016,1,19,Tuesday,3,2016-03,20.68,20.73,20.23,20.42,3305900.0,19.64,-0.025763363293343944,21.515454545454546,21.515454545454546,-,,,,,100.0,100.0,100.0
11,2016-01-20,2016,1,20,Wednesday,3,2016-03,19.74,19.83,19.09,19.33,7184100.0,18.59,-0.05337906774531187,21.271666666666672,21.271666666666672,-,,,,,100.0,100.0,100.0
12,2016-01-21,2016,1,21,Thursday,3,2016-03,18.18,18.79,18.05,18.58,8222300.0,17.87,-0.038799789776669535,21.01,21.01,-,,,,,100.0,100.0,100.0
13,2016-01-22,2016,1,22,Friday,3,2016-03,19.15,19.29,18.94,19.06,2542600.0,18.33,0.02583433055534501,20.818571428571428,20.818571428571428,+,,,,,100.0,100.0,100.0
14,2016-01-25,2016,1,25,Monday,4,2016-04,18.14,18.22,17.84,17.87,3193000.0,17.18,-0.062434428220324974,20.432142857142857,20.576,-,,,,,100.0,100.0,100.0
15,2016-01-26,2016,1,26,Tuesday,4,2016-04,18.34,18.66,18.26,18.66,2129700.0,17.94,0.04420813427983683,20.10071428571429,20.41125,+,,,,,100.0,100.0,100.0
16,2016-01-27,2016,1,27,Wednesday,4,2016-04,18.46,18.74,18.31,18.42,2559100.0,17.71,-0.0128617855501022,19.77642857142857,20.25235294117647,-,,,,,100.0,100.0,100.0
17,2016-01-28,2016,1,28,Thursday,4,2016-04,17.95,18.04,17.61,17.76,2854500.0,17.08,-0.03583054243120587,19.435714285714287,20.07611111111111,-,,,,,100.0,100.0,100.0
18,2016-01-29,2016,1,29,Friday,4,2016-04,17.76,17.91,17.62,17.89,2087300.0,17.2,0.007319754548169355,19.146428571428572,19.92473684210526,+,,,,,100.0,100.0,100.0
19,2016-02-01,2016,2,1,Monday,5,2016-05,17.86,17.9,17.68,17.84,2086000.0,17.16,-0.002794849777794539,18.814285714285713,19.7865,-,,,,,100.0,100.0,100.0
20,2016-02-02,2016,2,2,Tuesday,5,2016-05,17.23,17.25,16.9,16.94,3800600.0,16.29,-0.050448402574167835,18.40285714285714,19.62,-,,,,,100.0,100.0,100.0
21,2016-02-03,2016,2,3,Wednesday,5,2016-05,16.73,16.73,16.12,16.65,8412600.0,16.01,-0.017119407439531997,18.023571428571426,19.45590909090909,-,,,,,100.0,100.0,100.0
22,2016-02-04,2016,2,4,Thursday,5,2016-05,16.66,17.15,16.63,16.96,4109300.0,16.31,0.018618712773027516,17.67642857142857,19.31913043478261,+,,,,,100.0,100.0,100.0
23,2016-02-05,2016,2,5,Friday,5,2016-05,17.14,17.2,16.84,16.89,3894300.0,16.24,-0.004127394070997825,17.396428571428572,19.190833333333334,-,,,,,100.0,100.0,100.0
24,2016-02-08,2016,2,8,Monday,6,2016-06,16.1,16.1,15.08,15.54,8135300.0,14.94,-0.07992891418513948,17.060714285714287,19.0208,-,,,,,100.0,100.0,100.0
