,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,True Value,Predictive Label W2,Predictive Label W3,Predictive Label W4,Ensemble Value,Buy & Hold Value,W2 Strategy Value,Ensemble Strategy Value
0,2016-01-04,2016,1,4,Monday,1,2016-01,200.49,201.03,198.59,201.02,222353500.0,181.92,0.0,181.92,181.92,+,,,,,100.0,100.0,100.0
1,2016-01-05,2016,1,5,Tuesday,1,2016-01,201.4,201.9,200.05,201.36,110845800.0,182.23,0.0016913874283739359,182.075,182.075,+,,,,,100.0,100.0,100.0
2,2016-01-06,2016,1,6,Wednesday,1,2016-01,198.34,200.06,197.6,198.82,152112600.0,179.93,-0.012614121364926234,181.36,181.36,-,,,,,100.0,100.0,100.0
3,2016-01-07,2016,1,7,Thursday,1,2016-01,195.33,197.44,193.59,194.05,213436100.0,175.61,-0.02399139122405547,179.9225,179.9225,-,,,,,100.0,100.0,100.0
4,2016-01-08,2016,1,8,Friday,1,2016-01,195.19,195.85,191.58,191.92,209817200.0,173.68,-0.010976741340900431,178.67399999999995,178.67399999999995,-,,,,,100.0,100.0,100.0
5,2016-01-11,2016,1,11,Monday,2,2016-02,193.01,193.41,189.82,192.11,187941300.0,173.85,0.000990119886210783,177.86999999999995,177.86999999999995,+,,,,,100.0,100.0,100.0
6,2016-01-12,2016,1,12,Tuesday,2,2016-02,193.82,194.55,191.14,193.66,172330500.0,175.26,0.008068297212589837,177.49714285714282,177.49714285714282,+,,,,,100.0,100.0,100.0
7,2016-01-13,2016,1,13,Wednesday,2,2016-02,194.45,194.86,188.38,188.83,221168900.0,170.89,-0.02494066948537033,176.67125,176.67125,-,,,,,100.0,100.0,100.0
8,2016-01-14,2016,1,14,Thursday,2,2016-02,189.55,193.26,187.66,191.93,240795600.0,173.69,0.016416621975966494,176.34,176.34,+,,,,,100.0,100.0,100.0
9,2016-01-15,2016,1,15,Friday,2,2016-02,186.77,188.76,185.52,187.81,324846400.0,169.96,-0.021465949682558768,175.702,175.702,-,,,,,100.0,100.0,100.0
10,2016-01-19,2016,1,19,Tuesday,3,2016-03,189.96,190.11,186.2,188.06,195244400.0,170.19,0.0013310346815065266,175.20090909090908,175.20090909090908,+,,,,,100.0,100.0,100.0
11,2016-01-20,2016,1,20,Wednesday,3,2016-03,185.03,187.5,181.02,185.65,286547800.0,168.01,-0.01281504714785786,174.6016666666667,174.6016666666667,-,,,,,100.0,100.0,100.0
12,2016-01-21,2016,1,21,Thursday,3,2016-03,186.21,188.87,184.64,186.69,195772900.0,168.95,0.0056020582355396096,174.1669230769231,174.1669230769231,+,,,,,100.0,100.0,100.0
13,2016-01-22,2016,1,22,Friday,3,2016-03,189.78,190.76,188.88,190.52,168319600.0,172.42,0.020515200214445528,174.04214285714286,174.04214285714286,+,,,,,100.0,100.0,100.0
14,2016-01-25,2016,1,25,Monday,4,2016-04,189.92,190.15,187.41,187.64,130371700.0,169.81,-0.015116428902418818,173.17714285714283,173.76000000000005,-,,,,,100.0,100.0,100.0
15,2016-01-26,2016,1,26,Tuesday,4,2016-04,188.42,190.53,188.02,190.2,141036800.0,172.13,0.013642930242659944,172.4557142857143,173.658125,+,,,,,100.0,100.0,100.0
16,2016-01-27,2016,1,27,Wednesday,4,2016-04,189.58,191.56,187.06,188.13,185681700.0,170.25,-0.01088316705152137,171.7642857142857,173.45764705882354,-,,,,,100.0,100.0,100.0
17,2016-01-28,2016,1,28,Thursday,4,2016-04,189.96,190.2,187.16,189.11,143798800.0,171.14,0.005209146954461286,171.445,173.32888888888888,+,,,,,100.0,100.0,100.0
18,2016-01-29,2016,1,29,Friday,4,2016-04,190.02,193.88,189.88,193.72,210529300.0,175.31,0.024377567972618586,171.5614285714286,173.43315789473687,+,,,,,100.0,100.0,100.0
19,2016-02-01,2016,2,1,Monday,5,2016-05,192.53,194.58,191.84,193.65,136061600.0,175.25,-0.0003614693673207325,171.6614285714286,173.524,-,,,,,100.0,100.0,100.0
20,2016-02-02,2016,2,2,Tuesday,5,2016-05,191.96,191.97,189.54,190.16,182564900.0,172.09,-0.01802218951500834,171.435,173.4557142857143,-,,,,,100.0,100.0,100.0
21,2016-02-03,2016,2,3,Wednesday,5,2016-05,191.41,191.78,187.1,191.3,205054900.0,173.12,0.005994815783327612,171.59428571428572,173.44045454545451,+,,,,,100.0,100.0,100.0
22,2016-02-04,2016,2,4,Thursday,5,2016-05,190.71,192.75,189.96,191.6,139531800.0,173.39,0.001568349138456826,171.57285714285715,173.43826086956523,+,,,,,100.0,100.0,100.0
23,2016-02-05,2016,2,5,Friday,5,2016-05,190.99,191.67,187.2,187.95,180788300.0,170.09,-0.019050058775998413,171.58214285714286,173.29875,-,,,,,100.0,100.0,100.0
24,2016-02-08,2016,2,8,Monday,6,2016-06,185.77,186.12,182.8,185.42,191526700.0,167.8,-0.013461191869709954,171.4114285714286,173.0788,-,,,,,100.0,100.0,100.0
25,2016-02-09,2016,2,9,Tuesday,6,2016-06,183.36,186.94,183.2,185.43,184513100.0,167.81,5.383308379447449e-05,171.39714285714288,172.87615384615387,+,,,,,100.0,100.0,100.0
26,2016-02-10,2016,2,10,Wednesday,6,2016-06,186.41,188.34,185.12,185.27,148214100.0,167.66,-0.0008625559863485455,171.30500000000004,172.682962962963,-,,,,,100.0,100.0,100.0
27,2016-02-11,2016,2,11,Thursday,6,2016-06,182.34,184.1,181.09,182.86,219058900.0,165.48,-0.013008209546707115,170.80928571428575,172.4257142857143,-,,,,,100.0,100.0,100.0
28,2016-02-12,2016,2,12,Friday,6,2016-06,184.96,186.65,183.96,186.63,127632400.0,168.9,0.020616911228140692,170.74428571428575,172.30413793103446,+,,,,,100.0,100.0,100.0
29,2016-02-16,2016,2,16,Tuesday,7,2016-07,188.77,189.81,187.63,189.78,120250700.0,171.75,0.016878285554091654,170.71714285714287,172.28566666666663,+,,,,,100.0,100.0,100.0
30,2016-02-17,2016,2,17,Wednesday,7,2016-07,191.16,193.32,191.01,192.88,136009500.0,174.55,0.016334800462705527,171.02428571428575,172.35870967741937,+,,,,,100.0,100.0,100.0
31,2016-02-18,2016,2,18,Thursday,7,2016-07,193.2,193.27,191.72,192.09,102343000.0,173.84,-0.004095932678969017,171.2171428571429,172.405,-,,,,,100.0,100.0,100.0
32,2016-02-19,2016,2,19,Friday,7,2016-07,191.17,192.18,190.45,192.0,114793000.0,173.75,-0.00046828881561289393,171.10571428571438,172.44575757575757,-,,,,,100.0,100.0,100.0
33,2016-02-22,2016,2,22,Monday,8,2016-08,193.87,194.95,193.79,194.78,103640300.0,176.27,0.014478879676113719,171.1785714285715,172.55823529411762,+,,,,,100.0,100.0,100.0
34,2016-02-23,2016,2,23,Tuesday,8,2016-08,194.0,194.32,192.18,192.32,111455300.0,174.04,-0.01262967252393743,171.31785714285718,172.60057142857144,-,,,,,100.0,100.0,100.0
35,2016-02-24,2016,2,24,Wednesday,8,2016-08,190.63,193.53,189.32,193.2,150812200.0,174.84,0.0045758519371337245,171.4407142857144,172.66277777777782,+,,,,,100.0,100.0,100.0
36,2016-02-25,2016,2,25,Thursday,8,2016-08,193.73,195.55,192.83,195.54,110728300.0,176.96,0.01211175232090067,171.6957142857144,172.77891891891895,+,,,,,100.0,100.0,100.0
37,2016-02-26,2016,2,26,Friday,8,2016-08,196.57,196.68,194.9,195.09,129833700.0,176.55,-0.002301253859135821,172.1571428571429,172.87815789473686,-,,,,,100.0,100.0,100.0
38,2016-02-29,2016,2,29,Monday,9,2016-09,195.11,196.23,193.33,193.56,125918100.0,175.17,-0.007842638690155002,172.6835714285715,172.9369230769231,-,,,,,100.0,100.0,100.0
39,2016-03-01,2016,3,1,Tuesday,9,2016-09,195.01,198.21,194.45,198.11,141799700.0,179.28,0.023507183316673563,173.50285714285724,173.09550000000004,+,,,,,100.0,100.0,100.0
40,2016-03-02,2016,3,2,Wednesday,9,2016-09,197.74,199.06,197.25,199.0,102415000.0,180.09,0.004492160188520833,174.3907142857144,173.2660975609756,+,,,,,100.0,100.0,100.0
41,2016-03-03,2016,3,3,Thursday,9,2016-09,198.79,199.8,198.11,199.78,95172200.0,180.8,0.003919723865443148,175.48500000000013,173.4454761904762,+,,,,,100.0,100.0,100.0
42,2016-03-04,2016,3,4,Friday,9,2016-09,200.01,201.35,199.03,200.43,129293600.0,181.38,0.00325354235225972,176.37642857142868,173.63000000000005,+,,,,,100.0,100.0,100.0
43,2016-03-07,2016,3,7,Monday,10,2016-10,199.34,201.07,199.25,200.59,100219000.0,181.53,0.0007984235782196869,177.0750000000001,173.80954545454549,+,,,,,100.0,100.0,100.0
44,2016-03-08,2016,3,8,Tuesday,10,2016-10,199.32,199.92,198.21,198.4,123974900.0,179.55,-0.01091793372344263,177.432142857143,173.9371111111111,-,,,,,100.0,100.0,100.0
45,2016-03-09,2016,3,9,Wednesday,10,2016-10,199.36,199.79,198.43,199.38,94801200.0,180.43,0.004939669975927208,177.90285714285727,174.07826086956524,+,,,,,100.0,100.0,100.0
46,2016-03-10,2016,3,10,Thursday,10,2016-10,199.96,201.07,197.38,199.54,156838700.0,180.58,0.0008024590816904098,178.3907142857144,174.2165957446809,+,,,,,100.0,100.0,100.0
47,2016-03-11,2016,3,11,Friday,10,2016-10,201.26,202.81,199.52,202.76,137964500.0,183.49,0.01613703654036791,178.90642857142868,174.40979166666668,+,,,,,100.0,100.0,100.0
48,2016-03-14,2016,3,14,Monday,11,2016-11,202.16,203.04,201.77,202.5,73612000.0,183.26,-0.0012822897737058134,179.56500000000008,174.59040816326538,-,,,,,100.0,100.0,100.0
49,2016-03-15,2016,3,15,Tuesday,11,2016-11,201.36,202.53,201.05,202.17,93169100.0,182.96,-0.0016296496994199214,180.14500000000007,174.75780000000003,-,,,,,100.0,100.0,100.0
50,2016-03-16,2016,3,16,Wednesday,11,2016-11,201.6,203.82,201.55,203.34,129303200.0,184.02,0.005787143700557662,180.6492857142858,174.79980000000003,+,,,,,100.0,100.0,100.0
51,2016-03-17,2016,3,17,Thursday,11,2016-11,203.24,205.23,202.77,204.63,134278500.0,185.18,0.006344072656166322,181.2657142857144,174.8588000000001,+,,,,,100.0,100.0,100.0
52,2016-03-18,2016,3,18,Friday,11,2016-11,204.17,204.78,203.8,204.38,138372400.0,185.91,0.003929708545517664,182.03285714285718,174.97840000000005,+,,,,,100.0,100.0,100.0
53,2016-03-21,2016,3,21,Monday,12,2016-12,204.07,204.94,203.8,204.67,72926700.0,186.18,0.0014190787380228276,182.52571428571432,175.18980000000005,+,,,,,100.0,100.0,100.0
54,2016-03-22,2016,3,22,Tuesday,12,2016-12,203.76,205.23,203.57,204.56,97471900.0,186.08,-0.0005377317457038178,182.95357142857142,175.43780000000004,-,,,,,100.0,100.0,100.0
55,2016-03-23,2016,3,23,Wednesday,12,2016-12,204.11,204.33,203.01,203.21,81052500.0,184.85,-0.006599265745992677,183.24285714285716,175.65780000000004,-,,,,,100.0,100.0,100.0
56,2016-03-24,2016,3,24,Thursday,12,2016-12,202.0,203.16,201.74,203.12,84360900.0,184.77,-0.0004429507353923556,183.485,175.84800000000004,-,,,,,100.0,100.0,100.0
57,2016-03-28,2016,3,28,Monday,13,2016-13,203.61,203.86,202.71,203.24,62408200.0,184.88,0.0005906424789541287,183.72428571428568,176.12780000000004,+,,,,,100.0,100.0,100.0
58,2016-03-29,2016,3,29,Tuesday,13,2016-13,202.76,205.25,202.4,205.12,92922900.0,186.59,0.009250247606470864,184.22714285714284,176.38580000000005,+,,,,,100.0,100.0,100.0
59,2016-03-30,2016,3,30,Wednesday,13,2016-13,206.3,206.87,205.59,206.02,86365300.0,187.4,0.0043877712241893185,184.725,176.73460000000003,+,,,,,100.0,100.0,100.0
60,2016-03-31,2016,3,31,Thursday,13,2016-13,205.91,206.41,205.33,205.52,94584100.0,186.95,-0.0024269382245009075,185.18,177.06980000000004,-,,,,,100.0,100.0,100.0
61,2016-04-01,2016,4,1,Friday,13,2016-13,204.35,207.14,203.98,206.92,114423500.0,188.22,0.006811747021263415,185.51785714285717,177.47400000000005,+,,,,,100.0,100.0,100.0
